Name, N, Meff, PPV, PPV/2, PPV/5, PPV/10, PPV-short, PPV/2-short, PPV/5-short, PPV/10-short, PPV-medium, PPV/2-medium, PPV/5-medium, PPV/10-medium, PPV-long, PPV/2-long, PPV/5-long, PPV/10-long, TM-score, RMSD
2MX7A, 112, 4068.033340, 0.133929, 0.232143, 0.318182, 0.363636, 0.000000, 0.000000, 0.000000, 0.000000, 0.206897, 0.315789, 0.454545, 0.600000, 0.108434, 0.189189, 0.181818, 0.166667, 0.249762, 20.822067
2MYHA, 41, 1.000000, 0.048780, 0.050000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.095238, 0.142857, 0.000000, 0.000000, 0.154348, 10.204284
2MZ0A, 55, 195.012427, 0.327273, 0.444444, 0.727273, 0.600000, 0.000000, 0.000000, 0.000000, 0.000000, 0.440000, 0.533333, 0.833333, 0.000000, 0.233333, 0.333333, 0.600000, 0.750000, 0.221328, 10.530914
2N11A, 74, 70.589002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.160934, 17.399349
2N12A, 82, 68.627290, 0.036585, 0.048780, 0.062500, 0.125000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.043478, 0.060606, 0.100000, 0.200000, 0.109971, 35.807595
2N24A, 30, 189.317238, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.133314, 7.315740
2N2CA, 43, 47.568355, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.143598, 9.329825
2N2EA, 108, 95.576998, 0.342593, 0.500000, 0.666667, 0.700000, 0.000000, 0.000000, 0.000000, 0.000000, 0.166667, 0.266667, 0.428571, 0.400000, 0.410256, 0.589744, 0.785714, 1.000000, 0.151850, 19.875407
2N32A, 109, 60.076384, 0.064220, 0.037037, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.238095, 0.125000, 0.000000, 0.000000, 0.022727, 0.021739, 0.000000, 0.000000, 0.158928, 19.254521
2N4PA, 89, 128.870035, 0.067416, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.022727, 0.000000, 0.000000, 0.000000, 0.111111, 0.000000, 0.000000, 0.000000, 0.127431, 19.196315
250.48405826647644
2N52A, 57, 2496.335288, 0.578947, 0.714286, 0.909091, 0.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.615385, 1.000000, 1.000000, 0.718750, 0.800000, 0.857143, 0.666667, 0.262175, 9.371324
2N5DA, 84, 42.970119, 0.083333, 0.142857, 0.125000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.230769, 0.750000, 0.500000, 0.500000, 0.056338, 0.078947, 0.071429, 0.166667, 0.120630, 32.498434
224.65085986126473
2N5LA, 57, 100.145477, 0.105263, 0.071429, 0.181818, 0.400000, 0.000000, 0.000000, 0.000000, 0.000000, 0.272727, 0.250000, 0.400000, 0.500000, 0.065217, 0.000000, 0.000000, 0.000000, 0.246374, 13.417525
2N5NA, 86, 2490.615360, 0.162791, 0.279070, 0.529412, 0.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.106383, 0.192308, 0.416667, 0.833333, 0.230769, 0.411765, 0.800000, 1.000000, 0.339772, 25.440109
2N5UA, 79, 99.291437, 0.265823, 0.333333, 0.466667, 0.714286, 0.000000, 0.000000, 0.000000, 0.000000, 0.372093, 0.480000, 0.500000, 0.714286, 0.138889, 0.071429, 0.333333, 0.000000, 0.175784, 19.387697
2N8HA, 34, 5.269048, 0.176471, 0.176471, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.208333, 0.200000, 0.400000, 0.000000, 0.100000, 0.142857, 0.000000, 0.000000, 0.119145, 9.232053
2N8OA, 51, 17.000000, 0.156863, 0.200000, 0.200000, 0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.083333, 0.166667, 0.333333, 0.333333, 0.179487, 0.210526, 0.142857, 0.000000, 0.268058, 8.779199
2N8PA, 53, 18.819298, 0.169811, 0.192308, 0.400000, 0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.250000, 0.666667, 1.000000, 1.000000, 0.155556, 0.130435, 0.250000, 0.000000, 0.213223, 10.131832
3X27D, 310, 114.751217, 0.154839, 0.167742, 0.161290, 0.064516, 0.000000, 0.000000, 0.000000, 0.000000, 0.243902, 0.347826, 0.200000, 0.200000, 0.141264, 0.136364, 0.153846, 0.038462, 0.062370, 138.674130
