Name, N, Meff, PPV, PPV/2, PPV/5, PPV/10, PPV-short, PPV/2-short, PPV/5-short, PPV/10-short, PPV-medium, PPV/2-medium, PPV/5-medium, PPV/10-medium, PPV-long, PPV/2-long, PPV/5-long, PPV/10-long
T0759-D1, 34, 488.637869, 0.088235, 0.117647, 0.166667, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.076923, 0.181818, 0.333333, 0.333333, 0.125000, 0.000000, 0.000000, 0.000000
T0759-D2, 62, 204.014910, 0.016129, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023810, 0.000000, 0.000000, 0.000000
T0760-D1, 201, 269.397975, 0.283582, 0.370000, 0.550000, 0.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.407407, 0.583333, 0.500000, 0.500000, 0.264368, 0.340909, 0.558824, 0.687500
T0761-D1, 88, 23.046418, 0.079545, 0.113636, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.121212, 0.142857, 0.000000, 0.000000, 0.054545, 0.086957, 0.000000, 0.000000
T0761-D2, 113, 7.000000, 0.008850, 0.017857, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.016129, 0.028571, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
T0762-D1, 257, 12619.238241, 0.443580, 0.609375, 0.705882, 0.880000, 0.000000, 0.000000, 0.000000, 0.000000, 0.315789, 0.400000, 0.333333, 0.000000, 0.453782, 0.627119, 0.729167, 0.916667
T0763-D1, 130, 22.233333, 0.023077, 0.015385, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.090909, 0.166667, 0.000000, 0.000000, 0.016807, 0.000000, 0.000000, 0.000000
T0764-D1, 321, 16491.915037, 0.563863, 0.768750, 0.828125, 0.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.666667, 0.761905, 1.000000, 1.000000, 0.547101, 0.769784, 0.810345, 0.857143
T0765-D1, 76, 560.267643, 0.328947, 0.473684, 0.666667, 0.857143, 0.000000, 0.000000, 0.000000, 0.000000, 0.250000, 0.416667, 0.500000, 0.500000, 0.357143, 0.500000, 0.777778, 1.000000
T0766-D1, 108, 330.566198, 0.129630, 0.166667, 0.142857, 0.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.181818, 0.200000, 0.166667, 0.333333, 0.116279, 0.159091, 0.133333, 0.285714
