Name, N, Meff, PPV, PPV/2, PPV/5, PPV/10, PPV-short, PPV/2-short, PPV/5-short, PPV/10-short, PPV-medium, PPV/2-medium, PPV/5-medium, PPV/10-medium, PPV-long, PPV/2-long, PPV/5-long, PPV/10-long, TM-score, RMSD
T0759-D1, 34, 488.637869, 0.117647, 0.176471, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.129032, 0.176471, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.123279, 9.216317
T0759-D2, 62, 204.014910, 0.080645, 0.064516, 0.166667, 0.166667, 0.000000, 0.000000, 0.000000, 0.000000, 0.125000, 0.000000, 0.000000, 0.000000, 0.074074, 0.066667, 0.166667, 0.166667, 0.235354, 9.044288
T0760-D1, 201, 269.397975, 0.542289, 0.710000, 0.800000, 0.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.444444, 0.558824, 0.888889, 1.000000, 0.586957, 0.787879, 0.774194, 0.764706, 0.156598, 27.330202
T0761-D1, 88, 23.046418, 0.193182, 0.295455, 0.470588, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.440000, 0.571429, 0.571429, 0.056604, 0.105263, 0.000000, 0.000000, 0.121562, 33.187363
T0761-D2, 113, 7.000000, 0.070796, 0.089286, 0.045455, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.178571, 0.222222, 0.250000, 0.000000, 0.035294, 0.026316, 0.000000, 0.000000, 0.130131, 36.718034
T0762-D1, 257, 12619.238241, 0.653696, 0.796875, 0.921569, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000, 0.000000, 0.662698, 0.803150, 0.921569, 1.000000, 0.270509, 22.872785
T0763-D1, 130, 22.233333, 0.161538, 0.215385, 0.192308, 0.153846, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.416667, 0.285714, 0.181818, 0.103093, 0.097561, 0.083333, 0.000000, 0.077451, 45.614539
T0764-D1, 321, 16491.915037, 0.626168, 0.831250, 0.859375, 0.968750, 0.000000, 0.000000, 0.000000, 0.000000, 0.785714, 0.894737, 0.875000, 1.000000, 0.602151, 0.822695, 0.857143, 0.964286, 0.437935, 26.883569
T0765-D1, 76, 560.267643, 0.552632, 0.578947, 0.666667, 0.857143, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.000000, 0.000000, 0.000000, 0.555556, 0.578947, 0.666667, 0.857143, 0.204831, 12.865574
T0766-D1, 108, 330.566198, 0.333333, 0.388889, 0.476190, 0.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.551724, 0.526316, 0.800000, 0.218750, 0.200000, 0.000000, 0.000000, 0.118830, 34.245344
T0767-D1, 76, 57.670635, 0.236842, 0.236842, 0.333333, 0.428571, 0.000000, 0.000000, 0.000000, 0.000000, 0.363636, 0.333333, 0.416667, 0.428571, 0.139535, 0.117647, 0.000000, 0.000000, 0.189988, 23.557460
T0767-D2, 180, 116.581218, 0.305556, 0.377778, 0.500000, 0.611111, 0.000000, 0.000000, 0.000000, 0.000000, 0.270833, 0.300000, 0.466667, 0.545455, 0.318182, 0.416667, 0.523810, 0.714286, 0.136945, 46.618997
T0768-D1, 143, 17186.305336, 0.755245, 0.788732, 0.821429, 0.857143, 0.000000, 0.000000, 0.000000, 0.000000, 0.771930, 0.807018, 0.807692, 0.846154, 0.689655, 0.714286, 1.000000, 1.000000, 0.373058, 30.202300
